userid,itemid,ts,label
1,2687,978824268,0
1,745,978824268,0
1,588,978824268,1
1,1,978824268,1
1,2355,978824291,1
1,2294,978824291,1
1,783,978824291,1
1,1566,978824330,1
1,1907,978824330,1
1,48,978824351,1
2,3257,978300073,0
2,736,978300100,1
2,2002,978300100,1
2,2126,978300123,0
2,292,978300123,0
2,95,978300143,0
2,1687,978300174,0
2,434,978300174,0
2,1544,978300174,1
2,1917,978300174,0
3,1270,978298231,0
3,1079,978298296,1
3,1259,978298296,1
3,1265,978298316,0
3,1641,978298430,0
3,2355,978298430,1
3,3552,978298459,1
3,104,978298486,1
3,3868,978298486,0
3,2081,978298504,1
4,1201,978294230,1
4,2692,978294230,1
4,2947,978294230,1
4,1214,978294260,1
4,3418,978294260,1
4,3702,978294260,1
4,1240,978294260,1
4,2951,978294282,1
4,1036,978294282,1
4,1954,978294282,1
5,52,978246479,0
5,1527,978246479,0
5,551,978246504,1
5,353,978246504,0
5,229,978246528,0
5,2029,978246555,1
5,1485,978246576,0
5,3105,978246576,0
5,1884,978246576,0
5,288,978246585,0
6,3578,978238195,1
6,3753,978238195,1
6,3536,978238230,1
6,3408,978238230,1
6,3624,978238256,1
6,3565,978238288,1
6,3717,978238371,1
6,920,978238851,1
6,1569,978238948,1
6,597,978239019,1
7,474,978234842,1
7,1580,978234842,1
7,861,978234874,1
7,2353,978234874,1
7,380,978234874,1
7,1573,978234874,1
7,1722,978234874,1
7,3256,978234874,1
7,349,978234874,1
7,3107,978234898,0
8,4,978232203,0
8,1027,978232203,1
8,3155,978232231,0
8,42,978232754,0
8,3500,978232754,0
8,3213,978233462,0
8,1274,978233462,1
8,1,978233496,1
8,741,978233526,1
8,3257,978247143,0
9,349,978226564,1
9,428,978226580,0
9,524,978226599,1
9,16,978226599,1
9,1653,978226619,1
9,1356,978226644,0
9,861,978226665,0
9,2278,978226665,1
9,367,978226678,0
9,2294,978226678,1
10,275,979776321,1
10,3034,980638330,1
10,3447,980638373,1
10,595,980638533,1
10,923,980638575,0
10,1704,980638575,1
10,1283,980638614,0
10,2693,980638633,1
10,1221,980638633,0
10,2252,980638688,1
11,88,978904663,1
11,1461,978904682,0
11,435,978904682,0
11,2507,978904711,0
11,2335,978904795,0
11,2306,978904849,0
11,2907,978904916,0
11,3146,978904939,0
11,2076,978908976,1
11,3182,978909052,0
12,1233,978220120,0
12,1193,978220179,1
12,111,978220179,1
12,593,978220193,1
12,3658,978220216,1
12,1247,978220216,0
12,1252,978220237,0
12,2804,978220237,1
12,923,978220237,1
12,3362,978220273,0
13,2470,978202524,0
13,2135,978202543,0
13,1587,978202543,0
13,552,978202543,0
13,2054,978202563,0
13,2,978202563,0
13,2641,978202563,0
13,1009,978202563,0
13,1375,978202563,0
13,2822,978202577,0
14,2686,978200975,1
14,2692,978200975,1
14,2762,978201003,1
14,3081,978201003,1
14,2396,978201003,1
14,296,978201244,1
14,608,978201244,0
14,1263,978201280,1
14,2731,978201317,1
14,1225,978201317,1
15,1291,978212645,0
15,260,978212645,1
15,1210,978212663,1
15,733,978212698,0
15,3461,978212698,1
15,2161,978212698,0
15,2640,978212720,0
15,2115,978212720,1
15,3755,978212752,0
15,3510,978361393,1
16,2392,978174639,0
16,2568,978174671,0
16,2723,978174671,0
16,2805,978174671,0
16,2581,978174695,1
16,2394,978174720,1
16,2485,978174755,0
16,2724,978174755,1
16,2987,978174795,0
16,2701,978174795,0
17,329,978161068,0
17,2311,978161068,1
17,2173,978161068,1
17,2526,978161068,0
17,3696,978161068,0
17,2533,978161068,0
17,164,978161166,1
17,1601,978161166,0
17,1617,978161166,1
17,707,978161166,1
18,2718,978157105,0
18,2145,978157195,0
18,3723,978157195,1
18,261,978157259,1
18,3448,978157295,1
18,838,978157335,1
18,26,978157335,1
18,266,978157412,0
18,454,978157412,0
18,1683,978157434,1
19,1193,982730936,1
19,3948,983074230,1
19,3421,983074250,0
19,223,983074267,1
19,3889,983124158,0
19,1275,983124158,1
19,405,983124158,0
19,1431,983124187,0
19,318,994556598,1
19,1234,994556636,1
20,1468,1009669071,0
20,3717,1009669071,0
20,2858,1009669071,1
20,2641,1009669115,1
20,1375,1009669115,0
20,3753,1009669116,1
20,3527,1009669181,1
20,1527,1009669181,1
20,1240,1009669181,1
20,1371,1009669227,1
21,2700,978139382,1
21,3000,978139382,1
21,2761,978139382,0
21,2355,978139398,0
21,588,978139423,0
21,3745,978139423,1
21,596,978139446,0
21,2294,978139446,0
21,2394,978139446,0
21,2800,978139540,1
22,2376,991149140,0
22,1097,991149289,0
22,2046,991149306,1
22,3527,991149320,1
22,2011,991149352,1
22,3698,991149352,1
22,1034,991149472,1
22,3896,991149493,0
22,908,991149661,1
22,910,991149892,1
23,2259,993706924,0
23,2409,993706924,0
23,2410,993706924,0
23,327,993706949,0
23,1388,993706949,0
23,2411,993706949,0
